data Alimento = Alimento {
  nome_alimento :: String,
  kcal :: Float,
  proteinas :: Float,
  gorduras :: Float,
  carboidratos :: Float
} deriving (Show)


id  name  category/id  category/name  nutrients/kcal  nutrients/protein  nutrients/lipids  nutrients/carbohydrates
287  Caranguejo, cozido  5  Pescados e frutos do mar  83  18.5  0.4  0
288  Corimba, cru  5  Pescados e frutos do mar  128  17.4  6  0
289  Corimbatá, assado  5  Pescados e frutos do mar  261  19.9  19.6  0
290  Corimbatá, cozido  5  Pescados e frutos do mar  239  20.1  16.9  0
291  Corvina de água doce, crua  5  Pescados e frutos do mar  101  18.9  2.2  0
292  Corvina do mar, crua  5  Pescados e frutos do mar  94  18.6  1.6  0
293  Corvina grande, assada  5  Pescados e frutos do mar  147  26.8  3.6  0
294  Corvina grande, cozida  5  Pescados e frutos do mar  100  23.4  2.6  0
295  Dourada de água doce, fresca  5  Pescados e frutos do mar  131  18.8  5.6  0
296  Lambari, congelado, cru  5  Pescados e frutos do mar  131  16.8  6.5  0
297  Lambari, congelado, frito  5  Pescados e frutos do mar  327  28.4  22.8  0
298  Lambari, fresco, cru  5  Pescados e frutos do mar  152  15.7  9.4  0
299  Manjuba, com farinha de trigo, frita  5  Pescados e frutos do mar  344  23.5  22.6  10.2
300  Manjuba, frita  5  Pescados e frutos do mar  349  30.1  24.5  0
301  Merluza, filé, assado  5  Pescados e frutos do mar  122  26.6  0.9  0
302  Merluza, filé, cru  5  Pescados e frutos do mar  89  16.6  2  0
303  Merluza, filé, frito  5  Pescados e frutos do mar  192  26.9  8.5  0
304  Pescada, branca, crua  5  Pescados e frutos do mar  111  16.3  4.6  0
305  Pescada, branca, frita  5  Pescados e frutos do mar  223  27.4  11.8  0
306  Pescada, filé, com farinha de trigo, frito  5  Pescados e frutos do mar  283  21.4  19.1  5
307  Pescada, filé, cru  5  Pescados e frutos do mar  107  16.7  4  0
308  Pescada, filé, frito  5  Pescados e frutos do mar  154  28.6  3.6  0
309  Pescada, filé, molho escabeche  5  Pescados e frutos do mar  142  11.8  8  5
310  Pescadinha, crua  5  Pescados e frutos do mar  76  15.5  1.1  0
311  Pintado, assado  5  Pescados e frutos do mar  192  36.5  4  0
312  Pintado, cru  5  Pescados e frutos do mar  91  18.6  1.3  0
313  Pintado, grelhado  5  Pescados e frutos do mar  152  30.8  2.3  0
314  Porquinho, cru  5  Pescados e frutos do mar  93  20.5  0.6  0
315  "Salmão, filé, com pele, fresco,  grelhado"  5  Pescados e frutos do mar  229  23.9  14  0
316  Salmão, sem pele, fresco, cru  5  Pescados e frutos do mar  170  19.3  9.7  0
317  Salmão, sem pele, fresco, grelhado  5  Pescados e frutos do mar  243  26.1  14.5  0
318  Sardinha, assada  5  Pescados e frutos do mar  164  32.2  3  0
319  Sardinha, conserva em óleo  5  Pescados e frutos do mar  285  15.9  24  0
320  Sardinha, frita  5  Pescados e frutos do mar  257  33.4  12.7  0
321  Sardinha, inteira, crua  5  Pescados e frutos do mar  114  21.1  2.7  0
322  Tucunaré, filé, congelado, cru  5  Pescados e frutos do mar  88  18  1.2  0
323  Apresuntado  6  Carnes e derivados  129  13.5  6.7  2.9
324  Caldo de carne, tablete  6  Carnes e derivados  241  7.8  16.6  15.1
325  Caldo de galinha, tablete  6  Carnes e derivados  251  6.3  20.4  10.6
326  Carne, bovina, acém, moído, cozido  6  Carnes e derivados  212  26.7  10.9  0
327  Carne, bovina, acém, moído, cru  6  Carnes e derivados  137  19.4  5.9  0
